sentence1,sentence2,score
بيان المتحدثة باسم الممثلة السامية كاثرين آشتون بشأن أحدث سلسلة من الهجمات في العراق,بيان المتحدثة باسم الممثلة العليا للاتحاد الأوروبي كاثرين اشتون بشأن استئناف عمليات الإعدام في العراق,0.64
مصر تعزز الأمن قبل احتجاجات مؤيدة لمرسي,مصر تستعد للاحتجاجات الضخمة,0.6
يحث ياكيموفيتش مجلس الوزراء على الموافقة على إطلاق سراح السجناء الفلسطينيين,إسرائيل توافق على الإفراج عن 104 سجناء فلسطينيين,0.4
فلسطينيون يبنون خيمة احتجاج أخرى في الضفة الغربية,أول تصويت للفلسطينيين في الأمم المتحدة رمزي و تاريخي,0.08
سقوط مبنى في بنغلاديش يزيد عدد القتلى إلى 362,ارتفع عدد القتلى في انهيار مبنى في بنغلاديش إلى 580,0.72
استدعاء المبعوثين الإسرائيليين حول خطط الاستيطان,بريطانيا تستدعي المبعوث الإسرائيلي حول المستوطنات,0.5
إثنان قتلى و إثنان جرحى في إطلاق نار في مدرسة نيفادا,نيفادا: قتيلين وجرحان في إطلاق نار في مدرسة متوسطة,1.0
حظر مدارس الجنس المختلطة لحماس يدخل حيز التنفيذ,"حماس في ""حظر"" المدارس المختلطة",0.84
تم إلقاء القبض على رجل بعد إطلاق النار على ضابط شرطة في ليدز,لجنة البحرية تحث على الإطاحة بالضباط الذين زيّفوا الموت,0.08
رئيس الوزراء الأوكراني يستقيل وسط الاحتجاجات,رئيس الوزراء التركي يشير إلى العودة إلى الخط المتشدد ضد المتظاهرين,0.12
أوباما يعيد التركيز على الاقتصاد في تقرير حالة الاتحاد,Factbox: ما الذي يجب البحث عنه في خطاب أوباما عن حالة الاتحاد,0.44
جوجل تطلق بالونات لنشر الإنترنت,جوجل تلعب لعبة الضرائب الدولية,0.2
العراق يدعم مصر في حملة ضد مؤيدي مرسي,العراق يدعم حملة مصر على أنصار محمد مرسي,0.96
روسيا تعطي موافقة أولية لحظر التبني الأمريكي,روسيا تعطي الموافقة الأولية لحظر التبني,0.76
خمسة أدانوا في قضية الاتجار بالأعضاء في كوسوفو,كوسوفو: 3 يحصلون على عقوبة السجن في قضية الاتجار بالأعضاء,0.56
(هيريك روشان) وزوجته (سوزان) ينفصلان,(هيثيك روشان) و (سوزان) سيتطلقان,0.88
مسلح بين 7 قتلى بعد إطلاق النار في شقة فلوريدا,المسلح من بين سبعة قتلى بعد إطلاق النار في شقة في فلوريدا,1.0
أوباما يشيد بالتقدم في حقوق المثليين في خطاب تنصيبه,آلاف يحتجون على زواج المثليين في فرنسا,0.2
موجة من التفجيرات تقتل 15 في العراق,سيارة مفخخة تقتل 49 شخصاً على الأقل في العراق,0.44
في خطوة صدمة، أوباما يضع ضربة سوريا على الانتظار,أوباما يعلق الهجوم على سوريا,0.92
إسرائيل تهاجم سوريا مع تصاعد التوترات حول الأسلحة,ضربات جوية جرحت مدنيين في درعا السورية,0.36
مسلحون يقتلون تسعة أشخاص في شمال غرب باكستان,متشددون يقتلون 6 جنود في شمال غرب باكستان,0.52
تحطم طائرة سان فرانسيسكو في لمحة,قتيلين و 181 جريحا في حادث تحطم طائرة في سان فرانسيسكو,0.24
اعتقال 8 أشخاص بعد انهيار مبنى في بنغلاديش,احتجاج العمال بعد انهيار مبنى في بنغلاديش,0.44
ركاب رحلة بحرية في عيد الميلاد أصيبوا بفيروس نوروفيروس,مسافر الرحلة المفقود هو سيارة إسعاف نيو ويلز,0.0
المعلومات الجديدة التي تم تمريرها للشرطة المتعلقة بموت الأميرة (ديانا) و (دودي فايد) يُعتقد أنها تتضمن مزاعم بقتلهما,معلومات وفاة الأميرة (ديانا) و (فايد) تلقينا جديدة وفاة الأميرة (ديانا) و (دودي الفايد) تتم دراستها من جديد من قبل الشرطة بعد أن تلقينا معلومات,0.7
طلب سنودن البقاء في روسيا,سنودن يصدر أول فيديو لروسيا,0.28
أسهم الصين تغلق بانخفاض يوم الأربعاء,أسهم الصين تغلق أعلى يوم الجمعة,0.44
عدوى في المعدة ستجعل نادال المريض يفوت بطولة أستراليا المفتوحة,رافا نادال سيغيب عن بطولة استراليا المفتوحة,0.68
نريندرا مودي يتعهد بالوقوف بقوة ضد باكستان,مودي يعد بموقف صارم ضد باكستان,0.96
محكمة مصرية تنظر في إطلاق سراح مبارك,محكمة مصر تأمر بإطلاق سراح مبارك,0.68
فتيان الكشافة يؤجلون قرار قبول المثليين,الكشافة الأمريكية تؤجل التصويت على رفع حظر المثليين,1.0
تفجيرات سيارة مفخخة تقتل ثمانية في جنوب العراق,تفجير سيارة يقتل 14 في شمال العراق,0.28
(فان دير سلوت) سيتزوج في السجن,(جوران فان دير سلوتس) يخطط للزواج في سجن (بيرو),0.8
أسهم طوكيو تغلق بانخفاض 0.26,أسهم طوكيو تغلق 1.53%,0.6
إغلاق العقود الآجلة لمؤشر الأسهم الصيني مرتفعة -- 4 ديسمبر,إغلاق مؤشر الأسهم الصينية الآجلة أقل -- 24 يناير,0.44
صور اليوم: 7 أغسطس 2013,صور اليوم: 11 أبريل 2013,0.56
"فلسطينيون ""تعرضوا"" لإطلاق نار إسرائيلي في غزة",مقتل فلسطينيين في غارة جوية إسرائيلية على غزة,0.56
(جيسي جاكسون جونيور) وزوجته أقرّا بالذنب في الاحتيال,زوجة جيسي جاكسون الابن تعترف بالذنب في الاحتيال,0.92
الولايات المتحدة تطرد دبلوماسيين فنزويليين,الولايات المتحدة تطرد دبلوماسيين فنزويليين,0.88
(هول) المخضرم في (بي بي سي) يعترف بالاعتداء الجنسي على الأطفال,ستيوارت هول يعترف بالاعتداءات الجنسية على الأطفال,0.68
سبعة قتلى وثلاثة جرحى في حادث طريق في جنوب الصين,20 قتيلاً و 44 جريحاً في حادث سير في الفلبين,0.12
رايان إير يعلن عن أرباح قياسية لكنه يحذر من أن النمو قد يتباطأ هذا العام,ستانستيد: رايان إير يبلغ عن زيادة 13٪ في الأرباح السنوية ولكن يحذر من تباطؤ النمو هذا العام,0.68
الأسهم التي يجب مراقبتها عند الإغلاق يوم الإثنين,الأسهم التي يجب مراقبتها عند الإغلاق يوم الخميس,0.6
الذكرى الخمسين لموت جون كينيدي,في الذكرى الخمسين لوفاة جون كينيدي، عقدت دالاس أول ذكرى لها,0.8
زلزال بقوة 6.3 ضرب تايوان,زلزال بقوة 7.7 ضرب جنوب غرب باكستان,0.24
كتب لمساعدة الأطفال على التحدث عن ماراثون بوسطن الأخبار,تقرير عن انفجارين على خط النهاية في ماراثون بوسطن,0.16
قطاع التكنولوجيا يزداد حرارة: جوجل و آي بي إم تسجل أرباح قوية,أسهم جوجل تتجاوز 1000 دولار بسبب الأرباح القوية,0.52
ملفات تعريف المرشحين الرئاسيين في كينيا,الصحفية الإيطالية تم اختيارها كمرشحة رئاسية,0.2
إسرائيل تحرر سجناء فلسطينيين,اللجنة الحكومية توافق على إطلاق سراح 26 سجينا فلسطينيا,0.68
انهيار مبنى في فيلادلفيا، 8-10 أشخاص قد يكونون محاصرين,انهيار مبنى في فيلادلفيا؛ تقارير عن الناس المحاصرين,0.8
أوباما يلتقي بعائلة مانديلا,أوباما يلتقي بزوما ويحيي مانديلا,0.6
مجلس الشيوخ الأمريكي يبدأ مناقشة مراقبة الأسلحة,مجلس الشيوخ الأمريكي مستعد للتصويت على مشروع قانون السيطرة على الأسلحة,0.68
تفجير سيارة يقتل 53 شخصاً في دمشق,تفجيرات السيارات تقتل 13 مدنياً في العاصمة العراقية,0.28
"""أصدقاء سوريا"" في الدوحة يتحدثون عن تسليح المتمردين",المحادثات السورية تتفق على المساعدات العسكرية للمتمردين,0.52
سوريا تدين الضربات الجوية الإسرائيلية,سلسلة من الهجمات المميتة تضرب العراق,0.4
قائد مصر يفرض حالة الطوارئ في 3 مدن,الرئيس المصري يعلن حالة الطوارئ في ثلاث مدن,1.0
متظاهرون من حزب (ABVP) يتصادمون مع الشرطة في (جانتر مانتر) ويرمون الحجارة,المتظاهرون يشتبكون مع الشرطة في جانتار منتار، 5 أشخاص محتجزون,0.56
رئيس الوزراء التركي يحث على إنهاء الاحتجاجات في اسطنبول,الشرطة التركية تطلق الغاز المسيل للدموع على المتظاهرين في اسطنبول,0.56
رجلين متهمين بجرائم إرهابية,النيجيري المولود في السعودية متهم بالإرهاب في نيويورك,0.36
الاتحاد الأوروبي يحصل على جائزة نوبل للسلام,يحصل الاتحاد الأوروبي على جائزة نوبل للسلام لعام 2012,0.72
تم تأخير بداية مهرجان سان فيرمين لسباق الثيران لفترة وجيزة بسبب عرقلة الرؤية بسبب علم الباسك,يبدأ مهرجان سان فيرمين للركض مع الثيران,0.52
ما يصل إلى 21، معظمهم من الأجانب، قتلوا في هجوم انتحاري في كابول,بريطاني من بين القتلى في هجوم انتحاري في كابول,0.56
ضابط شرطة لوس أنجلوس السابق مطلوب في جرائم قتل إرفين,ضابط وكالة المخابرات المركزية السابق حكم عليه بالسجن 30 شهراً بتهمة تسريب المعلومات,0.0
أسهم طوكيو تغلق 0.88% منخفضة,أسهم سنغافورة تغلق بانخفاض 0.44 بالمئة,0.16
"محكمة باكستانية تطالب بإجابات عن ""التجديف""",تقرير الباكستان والأمم المتحدة يكشف عن مستويات مثيرة للقلق من تعاطي المخدرات,0.12
شركة (ماكافي) التابعة لشركة (إنتل) تشتري شركة (ستون سوفت) المتخصصة في الجدران النارية القائمة على السحابة مقابل 389 مليون دولار نقداً,"""ماكافي"" تستحوذ على ""ستون سوفت"" مقابل 389 مليون دولار",0.76
زلزال بقوة 4.1 ضرب الولايات المتحدة,زلزال بقوة 7.2 ضرب الفلبين,0.2
حكم بالإعدام على زعيم المعارضة في بنغلاديش بتهمة ارتكاب جرائم حرب,بنغلاديش: محكمة جرائم الحرب تحكم على هارب بالإعدام,0.72
قاتل الشرطي المزعوم مات من رصاصة في الرأس,القاتل الشرطي المزعوم مات من طلق ناري,0.84
سيارة مفخخة في القنصلية السويدية في بنغازي في ليبيا، لا إصابات,سيارة مفخخة تصطدم بالقنصلية السويدية في بنغازي، لم يصب أحد,0.96
اعتقل مشرف في قضية مسجد لال,اعتقل مشرف في باكستان,0.6
"إيران تأمل أن تسفر المحادثات النووية عن ""خريطة طريق""",المحادثات النووية الإيرانية في جنيف تثير آمال كبيرة,0.88
35 متشدداً قتلوا في غارات أفغانية: مسؤول,12 متشددا قتلوا في غارات أفغانية: الوزارة,0.56
كوريا الشمالية أطلقت صواريخ قصيرة المدى,كوريا الشمالية تطلق صواريخ قصيرة المدى,0.8
المتظاهرون التايلانديون يعرقلون التصويت؛ 1 قُتل في أعمال عنف,المتظاهرون التايلانديون يغلقون مراكز الاقتراع في بانكوك,0.56
الرئيس الفنزويلي هوغو شافيز يموت من السرطان,هوغو شافيز: مسؤولون فنزويليون من أجل الوحدة,0.36
التجربة الثالثة لكوريا الشمالية تقربها من وضع القوة النووية,يقول حلف شمال الأطلسي أن التجربة النووية لكوريا الشمالية تهديد خطير للسلام العالمي,0.44
كوريا الشمالية تجري تجربة نووية ثالثة,كوريا الشمالية تؤكد تجربتها النووية الثالثة,0.92
الأسهم الهندية مفتوحة,الأسهم الهندية مفتوحة أقل,0.72
إيرادات المقامرة في ماكاو تصل إلى 38 مليار دولار في 2012,إيرادات القمار في ماكاو تصل إلى 38 مليار دولار في 2012,1.0
الإسرائيليون والفلسطينيون يستأنفون المحادثات في الولايات المتحدة,الإسرائيليون والفلسطينيون يبدأون المحادثات,0.76
حفل تأبين نيلسون مانديلا,وفاة نيلسون مانديلا: تغطية حية,0.48
مقاطعة (إن إم) تستعد لسماع دعوى زواج المثليين,بعض مسؤولي المقاطعة يمهدون الطريق للزواج من نفس الجنس,0.76
أربعة من أفراد طاقم طائرة هليكوبتر تابعة للقوات الجوية الأمريكية قُتلوا في تحطم في المملكة المتحدة,طاقم طائرة هليكوبتر تابعة للقوات الجوية الأمريكية قتل في تحطم طائرة بريطانية,0.8
طوكيو تستضيف الألعاب الأولمبية لعام 2020,طوكيو تفوز بسباق استضافة دورة الألعاب الأولمبية لعام 2020,0.84
ماليزيا تعتقل السيناتور الأسترالي في المطار,ماليزيا تعتقل نائب أسترالي في المطار,0.8
كوريا الجنوبية تقول أن الشمال أطلق صواريخ,كوريا الشمالية تطلق صواريخ قصيرة المدى,0.44
بريطانيا تغلق مصانعها مع وصول فضيحة لحوم الخيل إلى فرنسا,"وزراء الاتحاد الأوروبي ""عازمون"" على حل فضيحة لحوم الخيل",0.6
الولايات المتحدة تحذر سوريا من الأسلحة الكيميائية,قلق الولايات المتحدة يزداد بشأن الأسلحة الكيميائية السورية,0.64
37 قُتلوا في حادث حافلة في إيطاليا,12 قُتلوا في حادث حافلة في باكستان,0.24
اليوان الصيني يرتفع إلى 6.2689 مقابل الدولار الأمريكي,اليوان الصيني يتراجع إلى 6.2816 مقابل الدولار الأمريكي,0.6
الولايات المتحدة تعترف بالمعارضة السورية,روسيا تدعو المعارضة السورية للمحادثات,0.4
مصر تصوت على دستور جديد,المصريون يصوتون على دستور جديد,0.96
أسطورة بريستون وإنجلترا توم فيني يموت في 91,توم فينى العظيم السابق فى إنجلترا مات فى سن 91,0.88
سيارة مفخخة تقتل واحد وتجرح خمسة في بنغازي,سيارة مفخخة تضرب وزارة الخارجية الليبية في بنغازي,0.6
قنابل على جانب الطريق تقتل 5 في أفغانستان,قنبلة على جانب الطريق تقتل 3 رجال شرطة في أفغانستان,0.68
التاميل في سريلانكا يصوتون لمزيد من الحكم الذاتي,المحادثات السورية لكاميرون وبوتين,0.08
القوات الفرنسية تقترب من تمبكتو,القوات التي تقودها فرنسا تسيطر على الوصول إلى تمبكتو,0.72
غارة جوية لحلف شمال الأطلسي تقتل طفلين أفغانيين,قتل جندي من حلف شمال الأطلسي في أفغانستان,0.24
مسلحون يقتلون 11 سائحاً أجنبياً في باكستان,مسلحون يقتلون 11 من المتسلقين الأجانب في باكستان,0.8
كوريا الشمالية ستوقف أعمال المنطقة الصناعية المشتركة,كوريا الشمالية تمنع الوصول إلى المنطقة الصناعية المشتركة,0.8
متهم بالاغتصاب الجماعي في دلهي تعرض للضرب والتسمم,تم تأجيل حكم الاغتصاب الجماعي في دلهي مرة أخرى,0.36
فرنسا تتعهد بمساعدة عسكرية في مالي,معظم الفرنسيين يدعمون العملية العسكرية في مالي,0.28
المصريون يصوتون على دستور مثير للانقسام,المصريون يصوتون على تغيير الدستور,0.8
"ريد يذكر "" تقدم هائل "" في محادثات سقف الديون",يبدو أن قادة مجلس الشيوخ قريبون من اتفاق سقف الديون الأمريكية,0.56
زلزال بقوة 6.2 ضرب سارانغاني,زلزال بقوة 4.3 في جنوب غرب الصين,0.4
قتيل واحد و 11 جريح في حادث سيارة في لوس أنجلوس,6 قتلى و 33 جريحا في انفجار كوتاباتو,0.24
رئيس شركة إيزي جيت للإستقالة,"رئيس شركة الطيران البريطانية ""إيزي جيت"" يستقيل",0.84
أوباما يجدد عرض لخفض شبكة الأمان الاجتماعي في صفقة الميزانية الكبيرة: مساعد,اليابان تحث الولايات المتحدة على التعامل بسرعة مع الجمود في الميزانية,0.16
تفجير انتحاري يقتل 14 شخصاً في مجلس إقليم أفغانستان,انتحاري يقتل 11 في أفغانستان,0.48
اللجنة تقترب من القرارات النهائية الهجرة الكبرى,اللجنة القضائية في مجلس الشيوخ تقترب من القرارات الأخيرة في تشكيل مشروع قانون الهجرة,0.68
القوات الأمريكية قتلت في هجوم من الداخل الأفغاني,"قتل جنود حلف شمال الأطلسي في ""هجوم من الداخل"" الأفغاني",0.76
أُلقي القبض على الأم بتهمة القتل بعدما قتلت الكلبة ابنتها,رجل ألقي القبض عليه للاشتباه في جريمة قتل بعد طعن في سفولك,0.36
خمسة قتلى و40 مفقودين في كارثة القطار في كندا,لا يزال 40 مفقوداً في حطام القطار الكندي,0.64
قتل سياسي معارض تونسي بالرصاص,قُتل زعيم المعارضة التونسية واندلعت الاحتجاجات,0.6
الأمم المتحدة تطالب بتعزيز المساعدات السورية,الأمين العام للأمم المتحدة يضغط من أجل زيادة المساعدات السورية,0.96
الأسهم ترتفع في وول ستريت,انخفاض الأسهم في وول ستريت,0.32
(جورج زيمرمان) لم يُوجد مذنباً بجريمة قتل (تريفون مارتن),احتجاجات و نداءات للهدوء بعد تبرئة زيمرمان من قتل تريفون مارتن,0.52
المخبر إدوارد سنودن يطير إلى موسكو,وكيل الأمن القومي إدوارد سنودن يغادر هونغ كونغ في رحلة إلى موسكو,0.72
17 قتيلا و 133 جريحا في هجمات بالقنابل في شمال العراق,مقتل 2 وجرح 6 في اشتباكات في شمال لبنان,0.12
الكشف عن أسرار انتخابات 2012,كل العيون على كابريليس في انتخابات فنزويلا,0.24
الحزن الملكي على وفاة الممرضة,المهرج في الراديو يبكي على وفاة الممرضة,0.56
كوريا الشمالية تقول أنها قد تؤجل إطلاق صاروخ مثير للجدل,يبدو أن كوريا الشمالية ستؤجل إطلاق صاروخ مثير للجدل,0.84
مذكرات غيتس النقدية تهز إدارة أوباما,(غيتس) يفجر إدارة (أوباما),0.8
(جيف بيزوس) يراهن بـ 250 مليون دولار على إحياء صحيفة (واشنطن بوست),جيف بيزوس يدفع 250 مليون دولار لصحيفة واشنطن بوست,0.84
(بروكس) أعلن عدم إدانته بتهم الاختراق,(بروكس) أعلن عدم إدانته في جلسة الاستماع,0.76
التطهير يرسل رسالة مرعبة إلى النخبة الكورية الشمالية,تطهير عم كيم يرسل رسالة مرعبة إلى النخبة الكورية الشمالية,0.8
جنوب أفريقيا تحتفل بعيد ميلاد مانديلا الـ95,رئيس وزراء جنوب أفريقيا السابق نيلسون مانديلا عاد إلى المستشفى,0.28
أوباما يعلن أن قانون الرعاية الصحية يعمل,أوباما يتعهد بجعل قانون الرعاية الصحية الجديد يعمل,0.6
الأمطار الغزيرة تزيد من خطر الفيضانات يوم عيد الميلاد,المطر الطازج يجلب المزيد من الفيضانات,0.6
الآلاف يحتجون على زواج المثليين,الآلاف يحتجون على زواج المثليين في باريس,0.72
زعيم عصابة تايوان تم القبض عليه في المطار بعد 17 عاما,زامبيا تعتقل زعيمها السابق باندا بسبب صفقة النفط,0.08
محادثات إيران النووية تبدأ وسط آمال التقدم,المحادثات النووية الإيرانية تبدأ في جنيف,0.6
الاحتجاجات السياسية في تايلاند تعرقل المزيد من الوزارات,المتظاهرون التايلانديون يحاصرون المزيد من الوزارات,0.84
بيزوس من أمازون يشتري واشنطن بوست مقابل 250 مليون دولار,بيزوس من أمازون يشتري واشنطن بوست مقابل 250 مليون دولار,0.92
جولة أوباما الاقتصادية تتأثر بالتوقعات المنخفضة,أوباما يشجع الكشافة على إنهاء الحظر على المثليين,0.36
إسرائيل تتعهد بإنكار حزب الله بعد الضربة الجوية,سيارة مفخخة تقتل أربعة أشخاص في معقل حزب الله في بيروت,0.12
فرنسا ترحب بالاتفاق الأمريكي الروسي حول سوريا,جامعة الدول العربية ترحب بالاتفاق الأمريكي الروسي حول سوريا,0.48
المزيد من الجنود الفرنسيين إلى جمهورية أفريقيا الوسطى,معارك بالرصاص في عاصمة أفريقيا الوسطى تخلق حالة من الذعر,0.4
قرار الأمم المتحدة يأمر بتدمير الأسلحة الكيميائية السورية,ألمانيا مستعدة لمساعدة سوريا في المهمة الكيميائية,0.2
تحالف مصر المؤيد لمرسي يشير إلى مرونة في المحادثات,تحالف مصر المؤيد لمرسي يشير إلى مرونة في المحادثات,0.92
ديفيد بيكهام سيتقاعد في نهاية الموسم,ديفيد بيكهام يتقاعد من كرة القدم,0.84
ليبيا تغلق فجأة حدودها مع أربع دول,ليبيا تغلق الحدود وتعلن الأحكام العرفية في الجنوب,0.68
زلزال بقوة 6.0 يضرب اليونان -- USGS,زلزال بقوة 5 درجات يهز اليابان,0.2
البحث عن رجل سقط في البحر,لارا تخطط لزيارة نيبال,0.04
المتشددون يخططون لفرار من سجن باكستان,هجوم على سجن في باكستان يفر 250 من مقاتلي حركة طالبان,0.6
النيزك يضرب وسط روسيا أكثر من 500 شخص جرحوا,النيزك يضرب وسط روسيا، 400 جريح,0.6
عاصفة ثلجية تجعل شمال شرق الولايات المتحدة تتوقف,عاصفة ثلجية تضرب شمال شرق الولايات المتحدة وتغلق الطرق,0.84
المتظاهرون في حلف شمال الأطلسي برأوا من اتهامات الإرهاب,المتظاهرون في حلف شمال الأطلسي أدينوا بتهم غير إرهابية,0.32
"""المصداقية على المحك حول سوريا""",أوباما: الكونغرس، مصداقية العالم على المحك,0.28
طالبان على جدول أعمال الولايات المتحدة في باكستان,ما لا يقل عن 33 قتيلاً في زلزال كبير في باكستان,0.0
وزير الداخلية المصري ينجو من القنبلة,وزير الداخلية المصري ينجو من هجوم بالقنبلة,1.0
ينخفض اليوان الصيني إلى 6.2767 مقابل الدولار يوم الخميس,اليوان الصيني يتراجع إلى 6.1818 مقابل الدولار يوم الثلاثاء,0.4
أوباما يعقد محادثات حول العمل السوري,كاميرون يخسر التصويت البرلماني على العمل العسكري في سوريا,0.28
مصر 'تجمّد أصول جماعة الإخوان المسلمين',مصر تجمد أموال الإخوان المسلمين,1.0
تقرير زين: ليس من السهل أن تكون عالية الصيانة,نيزك روسي يترك المبنى مفتوحاً,0.0
توني أبوت أقسم على منصب رئيس الوزراء الأسترالي الجديد,توني أبوت أقسم على منصب رئيس وزراء أستراليا,0.92
الجيش المصري يضرب جماعة الإخوان,الجيش المصري يضرب جماعة الإخوان المسلمين,0.8
مجلس النواب في فنزويلا يلتقي وسط أزمة صحية تشافيز,الجمعية تجتمع وسط أزمة تشافيز,0.68
المعارضة السورية تهدد بالانسحاب من المحادثات,المعارضة السورية توافق على المحادثات,0.4
انتحاري يقتل شرطي في باكستان,انتحاريون يقتلون 3 جنود في باكستان,0.52
المتظاهرون المناهضون للحكومة يقتحمون شوارع كييف,المحتجون في أوكرانيا يسقطون تمثال لينين,0.16
رجل من شيكاغو سيتم الحكم عليه بتهمة الإرهاب,مدراء بنك كابول يحكم عليهم بتهمة الفساد,0.2
هجوم طائرة أمريكية بدون طيار يقتل ثلاثة في شمال غرب باكستان,هجوم طائرة أمريكية بدون طيار يقتل سبعة في شمال وزيرستان,0.48
خلل في المسار يعطل خدمة القطارات بين رافلز بلايس و مارينا باي,خدمة القطار تعطلت بين رافلز بلايس و مارينا باي,0.84
حُكم على مانينج بالسجن 35 عاماً بتهمة تسريب أسرار حكومية,سجن بريطاني لعشر سنوات لبيع أجهزة كشف القنابل المزيفة,0.2
الشرطة البريطانية تقول أنه لا علاقة للإرهاب بتحطم المروحية,الشرطة الصينية تبحث عن ثمانية مشتبه بهم في الحادث,0.2
انتحاري يقتل 13 شخصا في جنوب روسيا,انتحاري يقتل 16 شخصاً في فولغوغراد الروسية,0.36
41 قتيلا و 22 جريحا في هجمات عنيفة في العراق,15 قتيلاً و 90 جريحاً في هجمات جديدة في العراق,0.36
كيري يزور الأردن، السلام الإسرائيلي الفلسطيني على جدول الأعمال,كيري يؤجل زيارته لإسرائيل بعد أسبوع,0.5
نسبة البطالة في منطقة اليورو تصل إلى مستوى قياسي جديد,البطالة في الاتحاد الأوروبي تصل إلى مستوى قياسي جديد,0.88
بطل نيلسون مانديلا الحقيقي لم يكن غاندي، ولكن نهرو,"صحة نيلسون مانديلا ""غير مستقرة""",0.28
في مواجهة ضريبة الإنقاذ، يحاول القبارصة سحب الأموال من البنوك,تنفيذ شروط الإنقاذ الفوري على بنوك قبرص,0.6
"أوباما يوقع على "" أوباما كير ""","الأمريكيون يتسابقون للتوقيع على "" أوباما كير "" بحلول الموعد النهائي",0.24
(لانس أرمسترونغ) يعترف بكل شيء لـ (أوبرا),(لانس أرمسترونغ) يعترف بتعاطي المنشطات في مقابلة مع (أوبرا),0.84
أندي موراي يستحق لقب فارس، يقول ديفيد كاميرون,ديفيد كاميرون: اندي موراي يستحق لقب فارس,1.0
مؤشر Hushen 300 يغلق أعلى -- 14 أكتوبر,مؤشر (هوشن 300) يغلق منخفضاً في 12 مارس,0.4
وزارة الخارجية الأمريكية أخطأت بشأن بنغازي,رئيس أمن وزارة الخارجية يستقيل بعد بنغازي,0.48
كرة القدم الفرنسية تستضيف أستراليا للمرة الأولى في أكتوبر,مسؤول NRA لمواجهة الأسئلة لأول مرة منذ التصريحات المثيرة للجدل,0.0
السفير الهندوراسي في كولومبيا طرد بعد حفلة جنونية,سفير هندوراس يستقيل بعد زفاف مزعوم في السفارة,0.72
يجب على سوريا تدمير الأسلحة الكيميائية,ليبيا  ⁇  تدمير الأسلحة الكيميائية الأخيرة  ⁇ ,0.48
هزة متوسطة في وسط البحر المتوسط,إيران: مرشح معتدل يفوز بالانتخابات الرئاسية,0.0
ثلاثة أفغان قتلوا في هجوم انتحاري,ثلاثة أفغان قتلوا في انفجار جديد في قاعدة أمريكية في شرق أفغانستان,0.72
تفجيرات انتحارية تضرب الجيش المصري في سيناء، 6 قتلى,تفجيرات انتحارية تضرب الجيش المصري في سيناء، 4 قتلى,0.56
الأسواق الآسيوية تستفيد من البيانات الاقتصادية الأمريكية المتفائلة,ارتفعت الأسواق الآسيوية بسبب البيانات الإيجابية للولايات المتحدة والصين,0.68
انتحاري يقتل 9 أشخاص في تجمع سياسي في باكستان,انتحاري يقتل حارس في السفارة الأمريكية في تركيا,0.32
أربعة من أنصار مرسي قتلوا في اشتباكات في مصر,عشرات الجرحى أثناء اشتباك مؤيدي مرسي مع قوات الأمن,0.44
الطلاب يأخذون جولة على الموجات,زلزال بقوة 5.5 ضرب تايوان,0.0
ضابط (بيستوريوس) انسحب من القضية,ضابط (بيستوريوس) بتهمة محاولة القتل,0.44
(فيني جونز) يكشف عن معركة السرطان الجديدة,(فيني جونز) يكشف أنه مصاب بسرطان الجلد,0.8
قائد حركة طالبان الباكستانية حكيم الله محسود قتل في غارة طائرة بدون طيار,حركة طالبان الباكستانية تتعهد بالثأر من قتل حكيم الله في سفك الدماء,0.52
عشرات القتلى في غارة جوية على مخبز في وسط سوريا,'عشرات قتلى' في غارة جوية سورية على مخبز,1.0
مسلحون يقتلون جندياً ويجرحان آخرين في باكستان,مسلحون يقتلون 6 من عمال شلل الأطفال في باكستان,0.4
الشرطة أكدت كيف تم القبض على المشتبه به,الغارة على ماراثون بوسطن المشتبه به التفجير التقط في الفيلم,0.44
بدأ تدمير الأسلحة الكيميائية السورية,تدمير الأسلحة الكيميائية السورية قد يثبت صعوبة,0.56
الفيضانات في كندا تجبر على إخلاء مدينة أخرى,حرائق غابات كاليفورنيا قوات الإخلاء من المنازل والجامعة,0.16
الأمم المتحدة تقول أن الطائرات بدون طيار الأمريكية تنتهك سيادة باكستان,الأمم المتحدة: غارات الطائرات بدون طيار الأمريكية تنتهك سيادة باكستان,0.88
"أوباما يشيد بـ""إلهام"" مانديلا",أوباما يشيد بتأثير إلهام مانديلا,0.96
أوباما يأتي 'للاستماع' لإسرائيل والفلسطينيين,كيري يرحب بالخطة العربية للمحادثات الإسرائيلية الفلسطينية,0.16
رسائل البريد الإلكتروني - شركة النفط سألت التاجر عن اجتماع مع الوزير,شركة النفط سألت تاجر المارقة عن اجتماع مع الوزير,0.84
ارتفع عدد القتلى في هجوم الشرطة النيجيرية إلى 30,ارتفع عدد القتلى في هجوم حافلة في كينيا إلى ستة,0.28
"سوريا ""تعلن عن الأسلحة الكيميائية وتوقيع الاتفاقية""","روسيا وسوريا تعملان على خطة أسلحة كيميائية ""ملموسة""",0.52
أستراليا ستلغي سقف الديون الوطنية المرتفع,رئيس الوزراء الأسترالي يصر على عدم المجادلة مع إندونيسيا,0.0
الأسواق الآسيوية ارتفعت لثلاثة أسابيع على أمل صفقة الديون الأمريكية,الأسهم الآسيوية وصلت إلى أعلى مستوياتها في ثلاثة أسابيع على أمل صفقة الديون الأمريكية,0.96
